City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
364,Dicabisagan,PH,88.88,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
368,Mangrol,IN,81.28,light rain,21.1167,70.1167,Hotel The Royal Honours
374,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
375,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
378,Athens,GR,78.17,clear sky,37.9795,23.7162,Novotel Athenes
380,Lethem,GY,79.05,overcast clouds,3.3803,-59.7968,Savannah Inn
383,Mahibadhoo,MV,82.44,overcast clouds,3.7833,72.9667,Omadhoo Inn
385,Pokhara,NP,75.85,overcast clouds,28.2333,83.9833,Butterfly Lodge
386,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
387,Fez,MA,75.45,clear sky,34.0372,-4.9998,Hotel Mounia Fès
389,Ugoofaaru,MV,81.0,light rain,5.6667,73.0,Ungoofaaru Inn
390,Sinnamary,GF,77.45,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
392,Muncar,ID,80.6,scattered clouds,-8.4333,114.3333,Zaky Homestay
393,Westport,US,75.74,clear sky,41.1415,-73.3579,The Westport Inn
394,Yumen,CN,83.43,clear sky,40.2833,97.2,
397,Sibolga,ID,83.21,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
401,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
402,Manicore,BR,76.95,clear sky,-5.8092,-61.3003,Hotel Durval
403,Wheeling,US,86.23,few clouds,42.1392,-87.929,The Westin Chicago North Shore
404,Tahta,EG,79.12,clear sky,26.7693,31.5021,El Salam Hotel
405,Damavand,IR,78.64,clear sky,35.7178,52.065,آپارتمان زمانیان
406,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
408,Ixtapa,MX,87.03,broken clouds,20.7,-105.2,Hotel Plaza Providencia
409,Amarpur,IN,84.99,scattered clouds,25.0333,86.9,Amit kirana store
410,Nazareno,MX,87.51,overcast clouds,25.3833,-103.4167,Palmas Suite
412,Conceicao Do Araguaia,BR,77.13,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
413,Asadabad,IR,75.0,clear sky,34.7824,48.1185,کامپیوتر صادق
416,Berbera,SO,83.8,light rain,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
419,Jiayuguan,CN,78.31,light rain,39.8167,98.3,Jiugang Hotel - Jiayuguan
421,Sholapur,IN,75.58,overcast clouds,17.6833,75.9167,STARiHOTELS Nilanagar Solapur
422,Yichun,CN,84.94,overcast clouds,47.7,128.9,锦江酒店
424,Sokolo,ML,78.89,overcast clouds,14.7328,-6.1219,
425,Nioro,GM,76.86,overcast clouds,13.35,-15.75,
426,Cedartown,US,83.5,overcast clouds,34.0537,-85.255,Quality Inn
428,Port Keats,AU,88.3,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
429,Majene,ID,80.85,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
434,Tezu,IN,80.49,overcast clouds,27.9167,96.1667,Circuit House
435,Koulikoro,ML,79.05,broken clouds,14.0,-7.75,
437,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
438,Talakan,RU,80.35,broken clouds,50.3167,130.3667,
439,Teknaf,BD,82.2,overcast clouds,20.8624,92.3058,Forestry Guesthouse
444,Dakar,SN,77.88,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
446,Korla,CN,89.26,clear sky,41.7597,86.1469,Gulisitan Hotel
447,Plaeng Yao,TH,84.94,light rain,13.5847,101.284,Nongkrok Resort
453,Makakilo City,US,89.92,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
456,Marsh Harbour,BS,80.38,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
457,Airai,TL,75.49,few clouds,-8.9266,125.4092,Juvinal Martin
459,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
462,Kushima,JP,85.51,overcast clouds,31.4583,131.2333,Hanaoka
463,Marrakesh,MA,80.67,scattered clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
465,Roma,US,78.66,light rain,43.2128,-75.4557,Wingate By Wyndham Rome
472,Chunskiy,RU,78.04,clear sky,56.0815,99.6342,Odisseya
474,Akyab,MM,83.16,overcast clouds,20.15,92.9,Hotel Memory
475,Daru,PG,79.3,moderate rain,-9.0763,143.2092,Daru Lodge
479,Fuxin,CN,85.87,overcast clouds,42.0156,121.6589,Xinya International Hotel
480,Razole,IN,82.69,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
482,Brokopondo,SR,77.29,overcast clouds,4.75,-55.1667,Matu Island
490,Lishui,CN,76.03,light rain,28.4604,119.9103,Bayi Hotel
492,Muana,BR,77.59,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
495,Dharchula,IN,75.79,overcast clouds,29.85,80.5333,Mahara Hotel
497,Balkhash,KZ,77.61,clear sky,46.844,74.9804,Family
498,Sovetskaya Gavan,RU,78.13,overcast clouds,48.9723,140.2878,"Хостел ""Пилигрим"""
504,Damghan,IR,80.13,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
511,Tadine,NC,77.02,clear sky,-21.55,167.8833,
513,Sterling,US,79.29,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
514,Pirgos,GR,76.68,clear sky,35.1167,25.7178,Daios Cove
518,Otofuke,JP,76.15,overcast clouds,42.9917,143.2003,スポーツホテル・クロス・コート
522,Botou,CN,89.83,clear sky,38.0667,116.5667,Hanting Hotel Huanghua City Hall
524,Hamilton,US,80.94,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
528,Torbat-E Jam,IR,80.31,clear sky,35.244,60.6225,White building
532,Chilliwack,CA,84.51,clear sky,49.1747,-121.9443,Coast Chilliwack Hotel by APA
